ghi,dni,dhi,amb_temp,rel_hmd,wind_dir,wind_spd,press
0.029441624,0,0.062906725,0.323432343,0.813861386,0.777777778,0.403846154,0.580882353
0.084263959,0.009737098,0.175704989,0.323432343,0.759123055,0.833333333,0.346153846,0.607352941
0.12893401,0.023369036,0.260303688,0.339933993,0.699434229,0.777777778,0.307692308,0.626470588
0.376649746,0.750730282,0.201735358,0.356435644,0.689816124,0.666666667,0.307692308,0.642647059
0.132994924,0.004868549,0.279826464,0.372937294,0.784582744,0.722222222,0.442307692,0.658823529
0.114720812,0,0.245119306,0.372937294,0.782461103,0.861111111,0.25,0.661764706
0.080203046,0,0.171366594,0.372937294,0.852192362,0.722222222,0.115384615,0.672058824
0.035532995,0,0.075921909,0.356435644,0.975247525,0.25,0.057692308,0.677941176
0.152284264,0.297955209,0.195227766,0.422442244,1,0.722222222,0.076923077,0.469117647
0.025380711,0,0.054229935,0.422442244,1,0.611111111,0.096153846,0.473529412
0.034517766,0,0.073752711,0.405940594,0.845403112,0.166666667,0.365384615,0.505882353
0.085279188,0,0.182212581,0.422442244,0.824752475,0.194444444,0.365384615,0.513235294
0.126903553,0.00194742,0.268980477,0.422442244,0.912022631,0.194444444,0.423076923,0.513235294
0.151269036,0.005842259,0.318872017,0.422442244,0.970721358,0.166666667,0.307692308,0.526470588
0.236548223,0.092502434,0.418655098,0.422442244,0.984441301,0.194444444,0.153846154,0.533823529
0.21319797,0.113924051,0.35791757,0.422442244,0.987411598,0.222222222,0.442307692,0.529411765
0.162436548,0.078870497,0.290672451,0.422442244,0.987553041,0.166666667,0.557692308,0.523529412
0.164467005,0.435248296,0.160520607,0.422442244,0.98019802,0.194444444,0.519230769,0.529411765
0.030456853,0.121713729,0.04989154,0.422442244,0.91669024,0.166666667,0.538461538,0.527941176
0.101522843,0.369036027,0.106290672,0.356435644,0.788684583,0.194444444,0.576923077,0.579411765
0.244670051,0.595910419,0.171366594,0.372937294,0.768599717,0.194444444,0.519230769,0.585294118
0.14822335,0.020447907,0.299349241,0.389438944,0.841442716,0.222222222,0.480769231,0.591176471
0.176649746,0.025316456,0.353579176,0.389438944,0.814710042,0.194444444,0.538461538,0.582352941
0.178680203,0.025316456,0.355748373,0.405940594,0.864356,,,
